C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,161666666666667","0,888777777777778","0,84","0,0269888888888889","0,0563777777777778","0,0126777777777778","0,0524555555555556","0,00456666666666667","0,148555555555556",St Si
"0,1164","0,9214","0,8454","0,0297","0,0475","0,0197","0,0612","0,004","0,1595",St Si
"0,147333333333333","0,869333333333333","0,84","0,0307","0,0598166666666667","0,0140333333333333","0,0566166666666667","0,00346666666666667","0,147333333333333",St Si
"0,239333333333333","0,226833333333333","0,79","0,0389333333333333","0,0370666666666667","0,0153","0,0346833333333333","0,00201666666666667","0,139666666666667",St 48
"0,108333333333333","0,826833333333333","0,81","0,0246","0,0396166666666667","0,0142666666666667","0,0538666666666667","0,0032","0,147833333333333",St Si
"0,128","0,858444444444444","0,8","0,0238222222222222","0,0456222222222222","0,0151777777777778","0,0559555555555556","0,00348888888888889","0,147444444444444",St Si
"0,1345","0,9534","0,8477","0,0308","0,0476","0,0191","0,0605","0,0035","0,159",St Si
"0,1065","0,850666666666667","1,03","0,0274","0,04815","0,0159","0,0457333333333333","0,00315","0,169166666666667",St Si
"0,2","0,278333333333333","0,73","0,0579666666666667","0,0661666666666667","0,0161833333333333","0,0388833333333333","0,00646666666666667","0,141833333333333",St 48
"0,136333333333333","0,852","0,83","0,0524","0,0433","0,01145","0,0559166666666667","0,0107","0,183166666666667",St Si
"0,269833333333333","0,272166666666667","0,73","0,042","0,0494166666666667","0,0157166666666667","0,0400333333333333","0,00311666666666667","0,140666666666667",St 48
"0,2749","0,2962","0,7967","0,0407","0,0522","0,0202","0,0417","0,0026","0,1509",St 48
"0,2425","0,2165","0,67","0,0288333333333333","0,0378833333333333","0,0331666666666667","0,0430333333333333","0,00438333333333333","0,180166666666667",St 48
"0,2525","0,252666666666667","0,66","0,0421166666666667","0,0536333333333333","0,012","0,0311166666666667","0,00341666666666667","0,131",St 48
"0,25325","0,2505","0,69","0,04025","0,053725","0,01415","0,03445","0,004825","0,138",St 48
"0,234333333333333","0,3185","0,66","0,0325333333333333","0,05675","0,0323333333333333","0,1375","0,00318333333333333","0,193",St 48
"0,326666666666667","0,332666666666667","0,66","0,03525","0,0634333333333333","0,0342333333333333","0,138333333333333","0,00385","0,193833333333333",St 48
"0,0462666666666667","0,005","0,49","0,0101666666666667","0,0227666666666667","0,00503333333333333","0,0321","0,002","0,0988",St 37
"0,241833333333333","0,251","0,78","0,0395","0,0383166666666667","0,0159666666666667","0,03525","0,00203333333333333","0,141",St 48
"0,2115","0,301166666666667","0,63","0,0233166666666667","0,0497","0,0374","0,1175","0,00363333333333333","0,1915",St 48
"0,221","0,248666666666667","0,68","0,0282833333333333","0,0380833333333333","0,0255333333333333","0,0443333333333333","0,00278333333333333","0,185666666666667",St 48
"0,232666666666667","0,233666666666667","0,67","0,0252666666666667","0,0324666666666667","0,0235666666666667","0,0403333333333333","0,00203333333333333","0,180333333333333",St 48
"0,2445","0,221666666666667","0,62","0,0181","0,0381","0,00881666666666667","0,0397333333333333","0,00263333333333333","0,167333333333333",St 48
"0,2665","0,204","0,62","0,0235833333333333","0,0448666666666667","0,00728333333333333","0,0387666666666667","0,002","0,168333333333333",St 48
"0,211833333333333","0,220666666666667","0,65","0,031","0,03875","0,0253666666666667","0,04305","0,00273333333333333","0,182666666666667",St 48
"0,2581","0,2426","0,6973","0,0355","0,0446","0,0296","0,0459","0,0047","0,1936",St 48
"0,277625","0,226875","0,65","0,034475","0,0463","0,0257625","0,042525","0,00285","0,180625",St 48
"0,162666666666667","0,501333333333333","0,99","0,0199666666666667","0,0380333333333333","0,325833333333333","0,102166666666667","0,0518666666666667","0,410833333333333",St 48
"0,167666666666667","0,510833333333333","0,97","0,02085","0,03905","0,323333333333333","0,102316666666667","0,0506833333333333","0,397666666666667",St 48
"0,210833333333333","0,255333333333333","0,46","0,0201333333333333","0,0535666666666667","0,0123166666666667","0,0491833333333333","0,00288333333333333","0,241833333333333",St 48
"0,120166666666667","0,005","0,33","0,0194666666666667","0,0313666666666667","0,0204833333333333","0,107166666666667","0,002","0,252333333333333",St 37
"0,224166666666667","0,240833333333333","0,66","0,0241833333333333","0,0320166666666667","0,0234166666666667","0,0404166666666667","0,0056","0,177666666666667",St 48
"0,251833333333333","0,245","0,69","0,0297333333333333","0,0415166666666667","0,0242166666666667","0,0416","0,00311666666666667","0,1885",St 48
"0,2274","0,2847","0,73","0,0304","0,04831","0,02717","0,0402","0,00649","0,1776",St 48
"0,262333333333333","0,216166666666667","0,6","0,0218","0,0457166666666667","0,00858333333333333","0,04235","0,00331666666666667","0,167666666666667",St 48
"0,249","0,213857142857143","0,61","0,0216","0,0512285714285714","0,00881428571428571","0,0419714285714286","0,00225714285714286","0,17",St 48
"0,1916","0,2188","0,64","0,02776","0,05908","0,00898","0,04174","0,0044","0,1748",St 48
"0,228166666666667","0,243333333333333","0,65","0,0203166666666667","0,0498","0,0101166666666667","0,0576833333333333","0,0056","0,174",St 48
"0,2584","0,2693","0,7042","0,0177","0,0595","0,0159","0,0594","0,0044","0,1854",St 48
"0,227166666666667","0,226666666666667","0,65","0,03285","0,0405666666666667","0,0270833333333333","0,0444833333333333","0,00361666666666667","0,1805",St 48
"0,2707","0,2404","0,6988","0,0351","0,0424","0,03","0,0463","0,0033","0,197",St 48
"0,24525","0,27525","0,76","0,03765","0,0406","0,0162","0,038425","0,002975","0,1445",St 48
"0,173","0,511833333333333","1,02","0,0213","0,03775","0,341333333333333","0,0999833333333333","0,0541833333333333","0,407666666666667",St 48
